event_date,year,sub_event_type,assoc_actor_1,actor2,country,admin1,admin2,admin3,location,latitude,longitude,notes,fatalities,tags,population_best,Topic,final_estimate
2025-05-20,2025,Peaceful protest,NA,NA,Switzerland,Geneve,Geneve,NA,Geneva,46.2044,6.1432,"on 20 may 2025, at 6 pm, around 160 people gathered in the paquis district of geneva (geneve) to protest the fatal police shooting of a man armed with a knife. the demonstrators marched from place de la navigation to rue rothschild, where the shooting occurred, demanding truth and justice. participants denounced the use of lethal force against individuals experiencing mental health crises and carried banners reading 'the death penalty is abolished, but the police apply it.'",0,crowd size=around 160,53174,Police,160
2025-05-17,2025,Peaceful protest,"BDS: Boycott, Divestment and Sanctions",NA,Switzerland,Geneve,Geneve,NA,Geneva,46.2044,6.1432,"on 17 may 2025, in the afternoon, at the call of bds, more than 2,500 people took to the streets in geneva (geneve) to protest against the israeli government and its actions in palestine.",0,crowd size=more than 2500,53174,Palestine,2500
2025-05-17,2025,Peaceful protest,Labor Group (Switzerland); Syna; Unia,NA,Switzerland,Vaud,Lausanne,NA,Lausanne,46.5197,6.6323,"on 17 may 2025, in the afternoon, at the call of unia and syna, between 2,000 and 10,000 construction workers coming from across the country staged a protest in lausanne (vaud) to demand higher wages, family-friendly working hours, and greater respect for their labor.",0,crowd size=between 2000 and 10000,42825,Workers,6000
2025-05-17,2025,Peaceful protest,Labor Group (Switzerland); Syna; Unia,NA,Switzerland,Zurich,Zurich,NA,Zurich,47.3769,8.5417,"on 17 may 2025, at the call of unia and syna, in the afternoon, over 10,000 construction workers coming from across the country staged a protest in zurich (zurich) to demand higher wages, family-friendly working hours, and greater respect for their labor.",0,crowd size=over 10000,35782,Workers,10000
2025-05-15,2025,Peaceful protest,NA,NA,Switzerland,Basel-Stadt,Basel-Stadt,NA,Basel,47.5596,7.5886,"on 15 may 2025, in the evening, protesters gathered outside the eurovision song contest venue in basel (basel-stadt) to denounce israel's participation in the contest and the presence of israeli contestant yuval raphael, in protest against israel's actions in gaza. demonstrators held palestinian flags and banners reading 'no applause for genocide'. during the rehearsal inside the venue, six pro-palestinian activists disrupted the performance by waving oversized palestinian flags and using whistles before being escorted out by security.",0,crowd size=at least 6,16171,Palestine,6
2025-05-15,2025,Peaceful protest,Students (Switzerland),NA,Switzerland,Geneve,Geneve,NA,Geneva,46.2044,6.1432,"on 15 may 2025, at the call of student coordination for palestine (coordination etudiante pour la palestine - cep), around 100 people staged a protest in front of the headquarters of the rectorate of uni dufour in geneva (geneve) to demand an end to institutional ties with israeli universities.",0,crowd size=around 100,53174,Palestine,100
2025-05-14,2025,Peaceful protest,NA,NA,Switzerland,Basel-Stadt,Basel-Stadt,NA,Basel,47.5596,7.5886,"on 14 may 2025, in the evening, around 200 people took part in a silent protest in basel (basel-stadt) to oppose israel's participation in the eurovision song contest 2025. marching from the town hall and across the rhine, protesters carried around 30 palestinian flags and banners reading 'basel - united for palestine' and 'boycott the genocide song contest', but were blocked by police from reaching the eurovision fan zone. the demonstration condemned israel's actions in gaza and called for its exclusion from the contest.",0,crowd size=around 200,16171,Palestine,200
2025-05-14,2025,Peaceful protest,Students (Switzerland),NA,Switzerland,Geneve,Geneve,NA,Geneva,46.2044,6.1432,"on 14 may 2025, at the call of student coordination for palestine (coordination etudiante pour la palestine - cep), between 30 and 100 people entered and occupied the second floor of the headquarters of the rectorate uni dufour in geneva (geneve) to demand an end to institutional ties with israeli universities. in the afternoon, between 10 and 20 people from a solidarity rally entered the building and joined the occupation. some students spent the night on site as a protest.",0,crowd size=between 40 and 120,53174,Palestine,80
2025-05-13,2025,Peaceful protest,Teachers (Switzerland),NA,Switzerland,Geneve,Geneve,NA,Geneva,46.2044,6.1432,"on 13 may 2025, at the call of the geneva union of high school teachers at secondary (union du corps enseignant du secondaire genevois), around 2,000 people, including teachers and teaching assistants, demonstrated in central geneva (geneve) to protest against a directive that would increase their working hours in the upcoming school year. protesters denounced what they described as a disguised workload increase.",0,crowd size=around 2000,53174,Workers,2000
2025-05-11,2025,Protest with intervention,NA,Police Forces of Switzerland (2023-),Switzerland,Basel-Stadt,Basel-Stadt,NA,Basel,47.5596,7.5886,"on 11 may 2025, in the afternoon, pro-palestinian supporters gathered outside the town hall in basel (basel-stadt) during the eurovision song contest opening ceremony to protest israel's participation. demonstrators denounced what they described as an israeli 'genocide' in gaza, called for the delivery of humanitarian aid, and expressed solidarity with the palestinian people. one protester carrying a palestinian flag was arrested after attempting to approach the artists along the official parade route.",0,NA,16171,Palestine,NA
