Ortschaft;Kanton;Datum
Zürich;ZH;14.12.2018
Basel;BS;21.12.2018
Bern;BE;21.12.2018
St. Gallen;SG;21.12.2018
Zürich;ZH;21.12.2018
Aarau;AG;18.01.2019
Baden;AG;18.01.2019
Basel;BS;18.01.2019
Bern;BE;18.01.2019
Biel/Bienne;BE;18.01.2019
Chur;GR;18.01.2019
Delémont;JU;18.01.2019
Fribourg;FR;18.01.2019
Genève;GE;18.01.2019
Lausanne;VD;18.01.2019
Luzern;LU;18.01.2019
Neuchâtel;NE;18.01.2019
Porrentruy;JU;18.01.2019
Solothurn;SO;18.01.2019
St. Gallen;SG;18.01.2019
Zug;ZG;18.01.2019
Zürich;ZH;18.01.2019
Basel;BS;02.02.2019
Bellinzona;TI;02.02.2019
Bern;BE;02.02.2019
Biel/Bienne;BE;02.02.2019
Delémont;JU;02.02.2019
Fribourg;FR;02.02.2019
Genève;GE;02.02.2019
Glarus;GL;02.02.2019
Lausanne;VD;02.02.2019
Luzern;LU;02.02.2019
Neuchâtel;NE;02.02.2019
Solothurn;SO;02.02.2019
St. Gallen;SG;02.02.2019
Zürich;ZH;02.02.2019
Schaffhausen;SH;15.02.2019
St. Gallen;SG;15.02.2019
Aarau;AG;15.03.2019
Baden;AG;15.03.2019
Basel;BS;15.03.2019
Bellinzona;TI;15.03.2019
Bern;BE;15.03.2019
Biel/Bienne;BE;15.03.2019
Brig-Glis;VS;15.03.2019
Chur;GR;15.03.2019
Delémont;JU;15.03.2019
Frauenfeld;TG;15.03.2019
Fribourg;FR;15.03.2019
Genève;GE;15.03.2019
Glarus;GL;15.03.2019
Lausanne;VD;15.03.2019
Luzern;LU;15.03.2019
Neuchâtel;NE;15.03.2019
Olten;SO;15.03.2019
Rapperswil-Jona;ZH;15.03.2019
Sion;VS;15.03.2019
Solothurn;SO;15.03.2019
St. Gallen;SG;15.03.2019
Thun;BE;15.03.2019
Zug;ZG;15.03.2019
Zürich;ZH;15.03.2019
Aarau;AG;06.04.2019
Basel;BS;06.04.2019
Bern;BE;06.04.2019
Biel/Bienne;BE;06.04.2019
Frauenfeld;TG;06.04.2019
Fribourg;FR;06.04.2019
Genève;GE;06.04.2019
Glarus;GL;06.04.2019
La Chaux-de-Fonds;NE;06.04.2019
Lausanne;VD;06.04.2019
Lugano;TI;06.04.2019
Luzern;LU;06.04.2019
Olten;SO;06.04.2019
Porrentruy;JU;06.04.2019
Sarnen;OW;06.04.2019
Solothurn;SO;06.04.2019
St. Gallen;SG;06.04.2019
Thun;BE;06.04.2019
Winterthur;ZH;06.04.2019
Zug;ZG;06.04.2019
Zürich;ZH;06.04.2019
Ins;BE;04.05.2019
Winterthur;ZH;04.05.2019
Baden;AG;24.05.2019
Basel;BS;24.05.2019
Bellinzona;TI;24.05.2019
Bern;BE;24.05.2019
Biel/Bienne;BE;24.05.2019
Burgdorf;BE;24.05.2019
Davos;GR;24.05.2019
Delémont;JU;24.05.2019
Fribourg;FR;24.05.2019
Genève;GE;24.05.2019
Glarus;GL;24.05.2019
Köniz;BE;24.05.2019
Langenthal;BE;24.05.2019
Lausanne;VD;24.05.2019
Luzern;LU;24.05.2019
Münsingen;BE;24.05.2019
Neuchâtel;NE;24.05.2019
Olten;SO;24.05.2019
Schaffhausen;SH;24.05.2019
Sion;VS;24.05.2019
Solothurn;SO;24.05.2019
St. Gallen;SG;24.05.2019
Thun;BE;24.05.2019
Zug;ZG;24.05.2019
Zürich;ZH;24.05.2019
Aarau;AG;31.08.2019
Affoltern am Albis;ZH;31.08.2019
Allschwil;BL;31.08.2019
Bülach;ZH;31.08.2019
Degersheim;SG;31.08.2019
Erlach;BE;31.08.2019
Hettlingen;ZH;31.08.2019
Horgen;ZH;31.08.2019
Interlaken;BE;31.08.2019
Langenthal;BE;31.08.2019
Lyss;BE;31.08.2019
Martigny;VD;31.08.2019
Massongex;VS;31.08.2019
Münsingen;BE;31.08.2019
Pfäffikon;ZH;31.08.2019
Saignelégier;JU;31.08.2019
Sarnen;OW;31.08.2019
Schwarzenburg;BE;31.08.2019
Stans;NW;31.08.2019
Teufen (AR);AR;31.08.2019
Uster;ZH;31.08.2019
Vuiteboeuf;VD;31.08.2019
Wattwil;SG;31.08.2019
Wetzikon;ZH;31.08.2019
Zollikofen;BE;31.08.2019
Wattwil;SG;01.09.2019
Appenzell;AI;21.09.2019
Aarau;AG;27.09.2019
Baden;AG;27.09.2019
